Status	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_EnhA2	2	11	7	21	7	1	2	7	5	5	2	2	8	0	3	0	7	4	0	0	1	3	0	0	1	2	1	0	1	3	1	0	5	2	1	6	7	3	11	0	1	3	22	7	15	13	10	9	11	12	10	17	2	12	17	7	9	7	7	15	11	9	12	4	10	9	20	6	1	2	6	13	4	4	11	7	14	3	20	2	5	13	0	0	0	0	1	2	0	5	0	1	2	3	2	1	4	4
11_EnhWk	24	12	29	15	20	6	21	17	11	24	26	24	31	25	16	18	19	19	26	23	11	13	9	7	11	9	19	9	9	6	16	16	9	23	18	26	19	22	9	19	7	9	4	15	11	28	17	15	12	10	17	1	15	8	9	27	13	16	9	19	27	18	8	15	16	14	12	13	28	19	20	4	7	2	12	9	6	37	12	8	7	18	21	5	16	26	26	31	21	21	17	23	16	20	35	24	22	24
12_ZNF/Rpts	3	1	4	3	1	1	5	1	5	2	7	4	4	1	2	0	4	0	8	5	2	0	0	1	0	1	1	0	1	0	1	1	0	0	4	4	2	5	2	5	1	1	1	0	0	1	0	0	2	0	0	2	0	2	1	2	2	4	1	3	3	4	3	2	0	1	6	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	6	0	6	5	0	1	7	0	2	0	1	4	0	0
13_Het	9	0	7	8	0	3	3	5	9	4	6	4	19	3	3	1	4	9	17	4	3	2	5	3	4	1	0	2	7	4	15	2	3	10	6	15	15	10	8	9	6	11	20	11	2	4	5	9	6	3	3	4	3	6	9	4	9	14	6	0	6	5	4	6	2	7	18	3	8	0	8	10	8	3	2	1	7	6	1	2	8	15	1	8	10	3	6	10	9	4	9	0	11	7	7	9	7	6
14_TssBiv	1	0	0	0	0	0	1	1	1	3	3	1	0	2	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	2	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
15_EnhBiv	2	1	3	1	0	2	0	1	0	1	3	1	2	1	1	1	1	0	2	1	5	1	0	0	1	1	1	2	1	1	3	1	1	0	2	6	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	2	0	0	0	12	3	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	2	1	0	0	0	0	0	4	0	0	0	0	0	2	0	1	0	0	1
16_ReprPC	5	4	2	2	3	3	7	8	4	3	3	6	9	6	7	2	2	2	6	1	14	1	0	2	2	2	1	1	3	0	2	1	0	4	7	10	6	6	3	1	5	0	0	0	1	0	1	1	1	3	1	4	2	1	0	15	8	5	2	3	1	3	9	4	0	0	0	0	0	1	1	1	5	3	0	0	1	0	2	5	4	0	1	2	1	0	3	1	1	2	6	3	6	2	0	8	1	4
17_ReprPCWk	4	7	5	15	3	6	9	3	11	12	9	5	33	7	6	7	3	15	11	21	52	8	3	15	19	25	19	22	24	9	20	17	8	21	18	26	31	24	16	18	18	17	8	25	12	4	10	8	12	6	7	2	2	16	6	33	25	20	25	24	23	13	22	5	2	21	6	8	1	11	13	17	11	10	11	19	14	11	23	21	13	0	26	39	30	21	30	20	24	32	23	27	14	15	13	23	18	29
18_Quies	116	147	95	60	114	124	108	126	109	114	98	116	43	123	127	129	112	89	102	130	100	167	173	152	159	144	152	145	142	165	115	155	169	76	109	67	78	74	104	87	127	99	106	94	127	113	114	108	109	132	129	142	149	119	115	67	87	83	138	89	70	103	79	141	114	104	93	124	113	138	131	115	128	142	127	112	120	118	128	106	124	106	96	113	97	122	76	81	78	82	97	113	109	92	83	71	102	77
1_TssA	6	6	7	5	4	2	7	6	7	7	4	7	9	3	3	1	5	7	4	4	4	7	6	8	6	6	7	4	7	7	4	6	6	7	5	12	9	9	7	8	1	6	9	7	9	7	7	9	9	9	8	7	7	7	8	4	5	5	8	4	6	4	5	6	7	8	8	4	6	1	8	10	7	8	8	7	7	7	7	6	7	6	11	7	8	9	8	7	8	8	7	12	7	9	7	9	11	7
2_TssFlnk	5	3	1	3	5	9	5	4	2	3	6	3	3	7	8	7	1	6	1	2	2	0	3	1	0	2	3	3	2	1	2	2	1	2	1	2	3	1	5	2	3	5	3	1	2	4	5	3	4	2	4	2	8	4	4	2	4	5	5	3	3	5	4	2	1	4	0	9	0	6	4	3	3	9	4	5	0	3	1	8	4	1	3	1	3	0	1	2	1	2	1	4	0	3	6	1	1	4
3_TssFlnkU	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	2	9	4	1	1	1	1	1	1	3	1	2	2	0	1	1	2	10	9	3	2	1	1	1	6	6	0	7	1	3	1	2	1	2	0	2	1	2	1	1	3	3	1	2	2	2	1	3	0	1	0	1	1	0	0	4	7	1	1	0	0	1	0	6	3	1	11	3	7	4	8	2	5	6	6	8	8	4	9	5	1	11
