Status	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_EnhA2	-1.8069	-1.8474	-0.8922	1.2345	-0.306	-1.8299	-2.1556	-0.5276	-1.9397	-1.1204	-0.6947	-1.0971	-0.5611	-0.9661	-0.3889	-1.6123	-0.8499	-1.5373	-0.7076	-0.822	-1.3995	-1.1064	-0.7563	-1.1699	-0.6556	-1.0858	-0.7939	-0.5841	-1.2064	-1.1878	-1.523	-0.7616	-0.6311	-1.9721	-0.6191	-0.2272	-0.5015	-1.1791	-0.2206	-1.7722	-1.2648	-1.8364	0.0301	-0.809	-1.1081	-1.3273	-1.3107	-1.1291	-1.4583	-1.517	-1.2759	-0.9051	-1.6772	-0.5764	-0.689	-0.9295	-0.9031	-0.7716	-1.3547	1.1164	-0.2796	-1.0568	-0.2362	-0.8653	-0.7124	-1.5876	-0.2268	-1.1778	-1.0152	-1.7356	-1.5931	-0.7426	-1.6945	-1.7114	-1.9455	-1.0301	-1.6866	-1.7211	-2.1112	-1.7539	-1.1831	-1.0395	-1.6985	-1.4469	-1.3185	-1.5528	-0.2225	-1.37	-2.1401	-1.9231	-1.3302	-0.6436	-1.2524	-2.0525	-1.3213	-1.406	-1.2747	-1.4682
11_EnhWk	-2.2065	-2.9381	-1.1618	-2.7263	-2.9242	-3.5782	-1.8805	-3.5124	-2.8907	-2.3733	-1.9661	-2.2493	-0.1397	-2.475	-3.0317	-3.4594	-2.8851	-2.0646	-1.1248	-1.7318	-2.1127	-3.0827	-3.6184	-3.2718	-3.1461	-2.7593	-2.0889	-2.9666	-2.1228	-2.7075	-1.8843	-2.8243	-3.3812	-1.9665	-2.6998	-0.9041	-1.1006	-2.17	-2.5602	-2.5094	-2.268	-3.3203	-1.932	-2.1955	-2.7165	-0.3663	-2.2068	-2.5765	-2.3803	-2.2333	-2.1835	-2.5827	-3.3011	-2.7641	-2.6337	-0.6979	-2.3465	-1.6434	-2.731	-1.2826	-1.0387	-1.8915	-2.5852	-2.3365	-2.9868	-2.4271	-1.6669	-3.1005	-2.1714	-2.9101	-2.0343	-2.6498	-2.8868	-3.3334	-3.217	-3.3159	-2.6763	-0.2631	-1.9206	-2.2105	-2.3362	-2.1097	-1.951	-2.9754	-2.5358	-2.0852	-1.8572	-2.1422	-2.0239	-1.9504	-2.8432	-2.4069	-1.7352	-2.566	-1.5577	-2.0875	-1.8807	-1.7904
12_ZNF/Rpts	-1.84	-1.5612	-2.2607	-1.7389	-2.1146	-1.8628	-2.3452	-1.2565	-1.8174	-2.0258	-1.773	-1.9237	-1.8919	-1.8971	-2.2381	-1.5533	-1.619	-1.2861	-1.7906	-1.2074	-0.9082	-0.983	-0.9176	-0.9801	-1.1746	-0.9472	-0.6812	-1.4115	-1.3177	-0.9813	-1.6968	-0.8465	-0.8707	-1.7417	-1.596	-1.8145	-1.6262	-1.5873	-1.4794	-1.0896	-1.3572	-2.056	-2.8598	-2.2257	-1.216	-1.5694	-1.4302	-1.6929	-0.9974	-1.2996	-1.3823	-0.4939	-1.1201	-1.5287	-2.1539	-1.6348	-1.534	-1.9996	-2.1782	-1.2551	-1.7109	-1.5812	-1.6372	-1.3004	-1.8403	-1.4939	-1.968	-1.2077	-1.9987	-0.6477	-1.6286	-0.7741	-1.0312	-0.9123	-1.6726	-1.2118	-1.8229	-1.0345	-1.0403	-1.4037	-1.1305	-1.8024	-1.0837	-1.8636	-1.1619	-0.9376	-1.5648	-0.8473	-1.243	-1.0855	-0.4247	-1.0567	-1.3631	-1.3879	-0.6365	-0.9041	-1.0649	-0.9376
13_Het	-1.7732	-2.3783	-2.5099	-1.3326	-2.8038	-2.0703	-3.1024	-1.2727	-2.2503	-2.537	-3.0013	-2.9465	0.1631	-2.2204	-3.0918	-1.8065	-1.9405	-0.2185	-2.1746	-2.486	-1.5349	-1.3454	-0.2225	-1.4236	-1.3522	-1.7971	-1.798	-1.9456	-1.5078	-0.9834	-1.1367	-1.3297	-0.7288	-0.3614	-2.2559	-0.5553	-0.1312	-1.4194	-0.787	-1.1595	-1.5715	-1.3206	-1.8469	-1.3824	-1.717	-2.0874	-1.2411	-1.0558	-1.3628	-1.4771	-1.7378	-0.9721	-0.9615	-1.9206	-2.1185	-2.0468	-1.1248	-1.3595	-2.6241	-2.8959	-2.0709	-2.5483	-2.2706	-1.7962	-2.2687	-1.5149	-1.7383	-1.2921	-2.1759	-1.0326	-1.8283	0.2389	-0.3828	-0.9822	-2.1139	-2.2283	-1.3953	-0.4468	-1.3096	-1.7556	-0.7852	-0.7828	-1.6983	-1.8791	-0.9301	-0.6612	-2.0097	-0.852	-0.0572	-0.9955	-1.0698	-1.6222	-0.9785	-0.5227	-0.3012	-1.0852	-0.7236	-0.6942
14_TssBiv	-1.1739	-1.0123	-1.0578	-0.8914	-0.8907	-1.0796	-0.6599	-1.2834	-0.4114	-0.5063	-0.4041	-1.1537	-0.9948	-1.0563	-1.6997	-0.9527	-0.6953	-0.773	-0.8513	-0.8731	-1.0719	-0.5555	-0.2757	-0.544	-0.5463	-0.866	-0.7311	-0.8578	-1.1245	-0.9683	-0.706	-0.624	-0.6256	-0.9287	-1.086	-1.2752	-1.443	-0.5975	-1.0985	-0.9399	-1.0909	-1.0301	-0.4172	-0.4604	-0.7871	-0.8168	-1.0124	-0.9862	-0.9304	-0.396	-0.7076	-1.1376	-0.8999	-0.8399	-0.7526	0.0497	-0.3041	-0.6508	-0.5514	-1.438	-0.7652	-0.3286	-0.4603	-1.0494	-0.4452	-0.7243	-0.4705	-0.5498	-0.2707	-0.7192	-0.9067	-1.0997	-0.8457	-1.0004	-0.3165	-0.7179	-0.6001	-0.6762	-0.601	-1.1515	-1.1879	-0.528	-0.7949	-0.5837	-0.742	-0.4186	-1.0545	-0.2364	-0.8274	-0.6898	-0.9116	-0.4658	-1.1134	-1.0862	-0.7496	-1.0809	-0.7426	-0.9838
15_EnhBiv	-1.0528	-0.4771	0.2511	-1.2964	-0.8105	0.0518	-1.2427	-1.4177	-0.7592	-1.1388	-0.4841	-0.9619	-0.8984	-1.222	-1.1172	-0.8901	-0.8418	-0.6373	-0.725	-1.2351	-0.9937	-0.4922	-0.9092	-1.0709	-0.8182	-0.9386	-0.8062	-0.702	-0.8825	-0.7034	-0.5275	-0.7021	-0.5982	-1.0169	-0.9072	-0.1316	-1.4366	-1.3452	-1.6277	-1.2385	-1.1295	-0.9106	-0.306	-0.8103	-0.6278	-0.0379	-0.8863	-0.5783	-0.7783	-0.7709	-0.7479	-0.4077	-0.7739	-1.0364	-0.9545	-1.6376	-1.2579	-1.2193	-0.2652	-0.7995	-1.4845	-1.6713	-1.2847	-0.9145	-0.3031	-0.8986	-0.738	-0.628	-0.2476	-1.0905	-0.0634	-0.5898	-0.918	-0.4891	-0.2511	-0.7579	-1.1225	-0.3883	-0.5553	-0.7349	-0.6079	-0.8188	-0.6167	-0.7966	-0.8224	-0.3997	-0.9262	-0.9971	-0.6213	-0.8347	-1.0764	-0.8768	-0.6163	-1.1099	-0.3534	-1.0283	-0.723	-0.416
16_ReprPC	-0.5125	-0.3655	-0.3931	-1.666	0.3765	-0.3531	-0.2059	-0.4031	0.3389	-1.0517	-1.1941	-0.3495	-1.1924	-0.5761	-0.3773	-0.9665	-0.278	-1.9438	-0.5415	-1.4937	-1.4545	-0.565	-1.0115	-0.795	-0.9554	-1.2201	-1.2786	-1.3837	-1.2885	-1.2633	-1.2513	-1.1019	-1.0606	-1.7908	-0.5425	-1.0419	-1.5956	-0.6216	-2.0574	-1.9911	-0.9092	-2.0182	-0.8531	-1.4405	-0.7915	-1.0357	-1.1941	-1.1504	-1.0161	-0.2848	-0.6787	-0.4183	-0.6138	-1.4031	-1.0964	-0.6823	-0.343	-0.4795	-0.7421	-2.6523	-2.2661	-1.0779	-0.9202	-0.9395	-0.2537	-1.4361	-0.8902	-1.1387	-0.2186	-1.1158	-0.5904	-1.296	-0.0124	-0.2112	-0.6923	-1.108	-1.1368	-1.8444	-1.294	-1.6705	-0.9027	-0.6379	-1.89	-1.3518	-0.979	-2.0699	-2.2804	-1.1308	-1.4642	-2.2929	-1.468	-1.0276	-0.8931	-1.7227	-2.2108	-0.2898	-1.746	-1.5525
17_ReprPCWk	-1.2376	-0.488	-0.5185	-0.0305	-0.7682	-0.3766	-0.6423	-1.7564	0.8553	0.9762	-0.2665	-0.7726	2.141	-0.5809	-0.8469	-0.4674	-0.8078	-0.4525	-0.1432	0.9818	2.4246	-0.3085	-1.1667	0.5453	0.5699	1.3366	0.599	0.947	1.103	-0.506	0.8136	0.3058	-0.4725	0.3853	0.8137	1.5287	2.2078	1.698	-0.7119	0.2318	0.07	0.5157	-0.5053	1.7054	0.7947	-0.9522	-0.1824	-0.464	0.5775	-0.7441	-0.3376	-1.4882	-1.2039	1.2396	-0.6766	1.4111	1.9679	1.8902	2.0533	0.2345	1.0727	-0.1712	0.7111	-0.952	-0.3744	1.4235	-0.3927	-0.5807	-0.5464	0.4699	0.6906	0.9936	0.1481	0.1701	0.3667	1.9875	-0.2631	-0.4753	0.199	0.0242	-0.0541	-1.1664	1.527	3.257	3.4689	0.758	1.4023	2.1553	1.7125	1.2819	0.5084	1.7992	-0.0858	-0.0779	-0.6662	1.5708	0.4221	1.8995
18_Quies	10.9102	10.6174	9.5019	6.4404	8.4152	9.7422	11.6889	11.9944	10.0011	10.9408	8.9266	10.5899	5.0939	10.1612	12.908	10.0462	11.189	9.2041	8.5491	13.0694	12.6522	14.8397	16.5766	15.8376	13.9522	14.6815	14.1835	13.4944	13.4864	15.6014	10.0181	13.0043	15.0337	8.1353	11.1341	9.2335	9.8253	8.373	11.1469	8.8666	12.0917	11.412	8.4474	8.7533	12.9566	12.2095	11.6957	11.7976	11.5073	12.6933	11.944	13.3908	15.3038	12.3905	10.4942	7.3138	8.5141	8.5949	10.6209	11.0954	8.1118	10.5984	9.053	13.1091	9.8256	10.3512	8.3067	11.7359	9.0586	12.1758	10.2843	12.716	12.6212	12.8862	10.9707	10.2184	11.9542	13.8331	11.9577	11.8024	11.1746	9.7796	10.1324	10.092	11.0145	13.0229	10.9269	7.081	7.6108	9.7671	11.2611	13.0693	11.4034	9.566	8.6195	6.9124	10.3351	8.1034
1_TssA	-0.1167	-0.3533	1.0145	0.4031	-0.2492	-0.73	1.1707	0.2239	0.5447	0.324	-0.2258	0.385	1.0725	-0.3997	-0.7529	-0.6589	-0.2622	0.0058	-0.1257	-0.5525	-0.7598	-0.5892	-0.8299	-0.3303	-0.6592	-0.5213	-0.4312	-0.5463	-0.4994	-1.1061	-0.7459	-0.6629	-0.8291	0.4804	0.0885	1.469	0.0107	0.6796	-0.0878	0.4832	-1.1324	-0.0128	0.2222	-0.111	-0.5333	-0.9259	-0.6677	-0.3495	-0.2941	-0.5758	-0.383	-1.1741	-0.6392	-0.7484	-0.1408	-0.3034	-0.577	-0.4732	-0.5348	-0.5974	0.1251	-0.5514	-0.3133	-0.1076	-0.2523	0.0945	0.3438	-0.9123	-0.0902	-1.2281	-0.1455	-0.8844	-0.646	-0.5966	-0.4932	-0.577	-0.0183	-0.5382	-0.3221	-0.7705	-0.5307	-0.0708	0.2152	0.3456	-0.3192	-0.06	0.8028	-0.072	0.2036	0.286	0.1128	0.4499	0.1819	0.4471	-0.2533	0.6433	0.2953	0.0668
2_TssFlnk	-0.9043	-1.5597	-1.556	-1.107	-1.5116	-0.8118	-1.3191	-1.3118	-1.5036	-1.3236	-0.7684	-1.388	-0.5346	-0.6124	-0.8163	-1.0936	-1.6593	-0.4887	-0.7558	-0.6329	-0.5606	-1.0824	-1.0409	-1.073	-1.2147	-0.5232	-0.53	-0.6639	-0.8438	-1.5455	-0.4829	-0.9473	-1.3302	-1.205	-0.5858	-1.2219	-1.3146	-1.588	-1.1065	-0.7292	-1.0227	0.0168	-1.5052	-0.7792	-1.9797	-1.3743	-1.0915	-1.1809	-1.5281	-1.8873	-1.0572	-1.7692	-0.3164	-1.3879	-0.5308	-0.5675	-0.4567	0.0909	-1.9006	-1.0854	-0.1133	-0.0764	-0.0787	-0.7238	-1.9479	-0.466	-1.3916	-0.7977	-1.8982	-1.1998	-1.2661	-1.8685	-1.0839	-0.9432	-1.7336	-1.1814	-1.3989	-0.8022	-1.0198	-0.5764	-0.8195	-1.0531	-1.285	-0.5419	-1.379	-1.8178	-1.4177	-1.0205	-1.8962	-1.616	-1.1474	-0.9527	-1.0433	-1.3043	-0.8032	-1.1819	-1.9161	-0.7502
