Status	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_EnhA2	0	3	2	4	2	1	1	1	1	0	1	0	3	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	2	1	0	1	0	0	6	0	1	2	1	3	1	4	1	1	2	3	0	1	2	3	3	1	2	1	1	2	1	1	4	1	3	3	3	0	0	1	2	0	1	2	4	0	2	0	5	1	1	4	0	0	0	0	0	0	0	1	0	0	1	0	2	1	1	1
11_EnhWk	10	3	8	4	4	3	9	3	5	7	7	9	7	8	6	7	7	4	9	7	2	3	2	1	3	2	3	3	2	1	6	3	2	4	6	7	6	3	1	4	1	1	1	5	3	10	7	4	3	4	5	1	4	0	2	9	1	6	3	3	7	5	3	1	2	4	5	1	7	7	6	1	3	1	3	3	1	12	3	5	1	5	3	2	3	7	5	5	4	6	2	8	5	7	9	5	4	5
12_ZNF/Rpts	0	0	0	2	0	0	0	0	2	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	1	0	0	0	3	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	3	0	1	4	0	1	0	0	1	0	0
13_Het	1	0	0	3	0	1	0	2	3	0	0	0	4	0	0	0	0	5	2	2	1	0	0	0	0	0	0	0	3	0	4	0	0	5	2	4	5	3	4	3	3	2	8	4	0	1	1	3	3	0	0	4	0	0	5	0	3	7	1	0	4	3	3	2	0	0	4	2	3	0	0	5	5	3	0	1	4	4	0	0	5	5	0	3	2	3	2	3	5	2	2	0	4	2	3	5	5	3
14_TssBiv	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15_EnhBiv	2	0	2	1	0	1	0	1	0	1	2	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	6	2	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
16_ReprPC	1	2	0	0	2	1	4	3	3	1	1	4	2	3	4	0	1	0	4	1	8	1	0	2	2	2	1	1	3	0	2	0	0	0	5	2	3	2	1	0	2	0	0	0	0	0	0	0	0	2	0	1	1	1	0	2	3	4	1	2	1	1	4	2	0	0	0	0	0	1	0	1	3	2	0	0	1	0	1	3	3	0	0	1	1	0	2	1	0	0	2	0	4	1	0	3	0	0
17_ReprPCWk	0	1	1	3	1	2	3	0	0	4	0	0	14	1	0	2	1	1	4	6	14	5	2	5	10	7	7	7	9	3	6	7	2	5	3	6	9	9	6	6	6	5	1	4	5	1	3	0	3	1	0	2	1	6	2	9	6	5	12	2	8	4	6	0	0	3	1	0	0	4	2	6	1	5	1	8	3	4	3	4	1	0	3	9	12	0	6	8	10	10	6	10	4	3	0	9	3	9
18_Quies	21	31	21	16	34	23	19	31	30	25	23	24	9	27	27	29	28	25	18	33	20	42	45	37	36	35	37	36	28	41	25	39	44	21	21	10	8	12	18	16	26	24	29	25	37	27	29	29	32	37	37	30	35	29	28	15	18	17	29	26	14	17	15	32	27	30	22	32	24	28	38	28	29	31	32	24	30	30	35	23	26	21	21	25	20	27	16	11	17	19	24	19	16	25	21	11	27	16
1_TssA	5	5	6	4	3	2	6	5	6	6	4	6	7	3	3	1	4	5	3	3	3	6	5	6	5	5	6	3	6	5	3	5	5	6	4	9	6	7	6	7	1	4	5	6	6	4	5	6	6	6	6	6	6	5	6	3	4	4	6	3	4	3	4	5	6	7	7	3	6	1	6	7	6	5	7	6	6	5	6	4	6	5	10	6	7	7	7	6	6	6	6	8	5	7	5	8	8	6
