Status	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_EnhA2	-1.1762	-1.0128	-0.5151	-0.0863	-0.1888	-0.8946	-0.9392	-0.7661	-1.2299	-1.2982	-0.1319	-0.8869	0.014	-0.5456	0.4509	-1.013	-1.3333	-1.2958	-0.4707	-0.5122	-0.9691	-0.6162	-0.4142	-0.6753	0.0337	-0.5001	-0.648	-0.3541	-0.8469	-0.6622	-0.6171	-0.4611	-0.2052	-0.828	-0.6361	-0.5593	-1.2882	-1.0666	1.0064	-0.9647	-0.3385	-0.5626	-1.3917	-0.0734	-1.4522	-0.6391	-1.3237	-1.282	-1.0722	-0.9395	-1.4705	-1.6022	-0.5274	-0.4983	-1.0537	-1.0248	-0.7288	-0.8514	-0.9886	-0.4304	-1.0555	-1.2444	0.1007	-0.5956	-0.3374	-0.7748	-1.0154	-1.2402	-0.7731	-0.8546	-0.7702	-1.6705	-1.0184	-0.8658	-0.9565	-1.4491	-1.6114	-1.3129	-1.4124	-0.8551	-0.8995	-0.5507	-0.9744	-0.8859	-0.7922	-0.8873	-0.4531	-1.0733	-1.1495	-1.0997	-0.7339	-0.644	-0.5654	-1.4796	-0.0187	-0.388	-0.834	-0.964
11_EnhWk	-0.5237	-1.6349	-0.694	-1.4944	-2.0213	-1.9334	-0.3357	-2.3527	-1.1003	-1.2932	-1.1967	-0.7603	-0.6365	-1.2797	-1.4345	-1.6586	-1.4374	-1.5327	-0.4022	-0.96	-1.6236	-1.8186	-2.22	-2.09	-1.7637	-1.756	-1.7251	-1.6076	-1.3751	-1.6781	-0.9087	-1.9474	-2.059	-1.6237	-1.4338	-0.7234	-0.5727	-1.9573	-2.1369	-1.7664	-1.5673	-2.4309	-1.0907	-1.1063	-1.5592	0.1564	-0.7347	-1.6572	-1.325	-0.9822	-1.1745	-1.4008	-1.8645	-2.0318	-1.7985	-0.0427	-2.0902	-0.6196	-1.3678	-1.3615	-0.7722	-1.1322	-1.2856	-2.0631	-2.2094	-1.4445	-0.5798	-2.2821	-1.4051	-1.5685	-1.0118	-1.5545	-1.6155	-2.0087	-2.0611	-1.9471	-1.7702	0.0888	-1.256	-0.584	-1.5993	-1.3427	-1.8202	-1.727	-1.8354	-1.1376	-1.6511	-2.1301	-1.5344	-1.0589	-2.0826	-1.2762	-1.0601	-1.0886	-1.2303	-1.6698	-1.7027	-1.4997
12_ZNF/Rpts	-1.3034	-0.9051	-1.7056	-0.4654	-1.3268	-1.299	-1.7781	-0.8967	-0.8033	-1.4212	-1.3308	-1.4229	-0.6854	-1.1195	-1.4481	-0.9408	-1.4725	-0.7085	-1.0096	-1.2531	-0.9009	-0.5193	-0.5265	-0.7234	-0.5986	-0.7317	-0.5985	-0.8466	-0.4394	-0.5776	-1.2204	-0.6674	-0.5462	-0.8692	-1.5059	-0.7315	-0.8731	-0.5717	-0.7857	-0.8008	-0.9132	-1.4046	-1.5401	-1.2881	-0.6632	-0.9806	-0.7624	-1.0562	-0.8022	-0.7048	-0.7472	0.002	-0.6511	-0.2113	-0.8778	-0.7163	-0.6745	-1.3011	-1.1922	-1.0713	-1.3383	-0.2584	-0.9036	-0.6116	-1.0488	-1.0867	-1.4999	-0.6943	-0.8054	-0.3923	-0.8623	-0.6608	-0.6403	-0.643	-1.0118	-0.7284	-1.0136	-0.5813	-0.614	-0.8004	-0.3924	-0.8831	-0.8564	-0.9031	-1.4098	-0.5396	-0.4413	0.2451	-0.7018	-0.1093	0.59	-0.6719	-0.703	-0.7896	-0.6799	-0.6123	-0.6502	-0.5113
13_Het	-1.396	-1.2862	-2.0748	-0.5134	-1.5509	-1.263	-2.0545	-0.4826	-1.1603	-1.8517	-2.1875	-1.8488	-0.42	-1.5057	-1.8687	-1.2116	-1.5569	0.9325	-2.1255	-1.1744	-0.818	-0.9059	-0.7412	-1.1657	-1.0553	-1.1374	-1.0709	-1.4138	-0.6481	-1.0018	-0.7962	-0.9965	-0.7905	0.6175	-1.3316	-0.507	0.0958	-0.734	0.1215	-0.5397	-0.611	-1.136	-0.5209	-0.5868	-1.0977	-1.207	-0.8798	-0.4323	-0.2899	-1.1241	-1.2896	0.5633	-0.9372	-1.6809	-0.5274	-1.7192	-0.5047	0.0647	-1.5966	-1.4875	-0.2745	-1.0607	-0.6831	-0.9921	-1.5222	-1.6701	-1.3657	-0.2826	-1.0382	-0.6301	-1.5546	0.9926	0.7798	0.4184	-1.5186	-1.0706	-0.1668	0.7603	-0.9419	-1.4007	0.4445	-0.2477	-1.1593	-0.9097	-0.8131	0.7927	-1.0205	-0.4641	0.8858	-0.0861	-0.7405	-1.0823	-0.401	-0.2378	0.2854	0.2878	0.784	0.1901
14_TssBiv	-0.1251	-0.5462	-0.584	-0.5341	-0.4808	-0.6576	-0.63	-0.9385	-0.4788	-0.1986	-0.1464	-0.8443	-0.5371	-0.3635	-0.9056	-0.1202	0.155	-0.4403	-0.5502	-0.4987	-0.7295	-0.3121	-0.357	-0.4811	-0.3316	-0.5354	-0.4599	-0.5028	-0.6618	-0.5311	-0.499	-0.3624	-0.3597	-0.4842	-0.6792	-0.7759	-0.992	-0.604	-0.7511	-0.55	-0.6752	-0.5865	-0.1951	-0.2754	-0.4015	-0.4553	-0.5629	-0.5834	-0.4697	0.3076	-0.4082	-0.7088	-0.5398	-0.668	-0.4857	1.0018	0.1151	-0.6248	-0.317	-0.7707	-0.6751	-0.4849	0.1253	-0.6233	-0.2932	-0.4034	-0.2715	-0.2274	-0.1753	-0.4129	-0.4613	-0.6613	-0.5331	-0.6219	-0.2102	-0.4517	-0.3907	0.065	-0.3297	-0.7352	-0.6918	-0.2972	-0.5001	-0.3409	-0.4369	-0.2505	-0.8346	-0.4658	-0.4267	-0.381	-0.4586	-0.3479	-0.7299	-0.5933	-0.4446	-0.6208	-0.4782	-0.5526
15_EnhBiv	0.1763	-0.4676	1.3179	-0.2436	-0.4365	0.3996	-0.7434	-0.4348	-0.4397	-0.1983	0.4456	-0.7521	-0.8739	-0.85	-0.776	-0.0249	-0.045	-0.3786	-0.2391	-0.8775	-0.796	-0.4699	-0.5294	-0.6012	-0.5639	-0.7082	-0.6755	-0.186	-0.668	-0.6165	-0.8854	-0.0183	-0.4957	-0.5418	-0.2379	0.1129	-0.7103	-0.7381	-1.0761	-0.6659	-0.6293	0.025	-0.1718	-0.4802	-0.3521	-0.3816	-0.5122	0.307	-0.4097	-0.4156	-0.3847	0.0304	-0.4928	-0.6064	-0.5795	-0.2704	-0.7184	-0.709	-0.1266	0.3945	-0.1957	-1.0059	-0.1776	0.0679	-0.1377	-0.5391	-0.4714	-0.3237	-0.1421	-0.7017	0.7055	0.2792	-0.5201	-0.291	-0.1574	-0.4884	-0.6615	-0.1518	0.2671	-0.1924	0.1132	-0.4759	-0.3472	-0.4819	-0.4859	-0.2141	-0.6196	-0.5479	-0.3513	-0.4635	-0.5842	-0.5337	-0.1349	-0.5958	-0.4958	-0.5887	-0.4305	-0.5944
16_ReprPC	-0.5142	0.1781	-0.6779	-1.2039	1.3129	-0.1734	0.8953	0.1065	1.6082	-0.5265	-0.6453	0.8704	-0.8821	0.1884	0.7379	-0.9104	0.1623	-1.245	0.6656	-0.4804	0.3056	0.1181	-0.5134	0.2586	0.052	-0.1984	-0.4299	-0.5488	0.0924	-0.7377	-0.1474	-0.7908	-0.6491	-1.3143	1.0565	-0.9808	-0.5906	-0.2087	-1.2834	-1.2886	-0.2681	-1.0998	-0.4234	-0.8385	-0.5821	-0.5661	-0.8258	-0.8386	-0.6907	0.5776	-0.5549	-0.3658	-0.0937	-0.4316	-0.627	-1.228	0.1287	1.0021	-0.1223	-0.9824	-0.9826	-0.5926	-0.0751	-0.1818	-0.1726	-0.8987	-0.5384	-0.5946	-0.1097	-0.3095	-0.5406	-0.3481	0.9137	0.5292	-0.4575	-0.7314	-0.2393	-1.0821	-0.5885	-0.4019	0.2397	-0.4081	-1.3115	-0.6747	-0.136	-1.1835	-0.9267	-0.1089	-0.9485	-1.3676	-0.6931	-1.1079	0.2916	-0.7232	-1.2196	0.1721	-1.2103	-1.409
17_ReprPCWk	-1.1474	-0.6516	-0.5675	-0.4682	-0.352	-0.0839	-0.1186	-1.3304	-1.0779	0.7966	-1.2516	-1.0663	2.572	-0.7556	-1.1856	-0.2166	-0.4661	-1.365	0.2799	0.5422	1.1575	0.8437	-0.2288	0.5416	1.3826	0.7276	0.8717	0.7504	1.1999	-0.1307	0.5836	0.7132	-0.4475	-0.0953	-0.3842	0.3294	1.4175	1.8824	-0.0197	0.4113	0.3208	0.2786	-0.7269	-0.1148	1.0013	-0.5458	-0.0971	-1.2919	0.1245	-0.6564	-1.0084	-0.3845	-0.5355	1.3111	-0.2429	0.6886	0.691	0.8003	2.5493	-1.3337	1.0921	0.0127	0.2803	-1.1181	-0.6187	-0.3644	-0.6197	-1.1217	-0.5482	0.5169	-0.2094	1.0162	-0.7668	0.8952	-0.8025	2.344	-0.4942	0.0427	-0.8115	-0.6682	-0.9042	-0.7057	-0.5881	1.2662	3.3098	-1.4673	-0.0392	2.2231	1.9989	0.8421	0.1319	1.7684	-0.0162	-0.5005	-1.7358	1.742	-0.5487	1.2564
18_Quies	2.6921	3.9834	3.4088	2.9111	4.7908	2.9249	3.1678	5.5693	5.4973	4.1663	3.6499	3.3313	1.4418	3.9802	4.4474	4.0776	5.7452	5.0544	2.5403	6.2653	4.6626	6.7808	8.1436	7.3067	5.4207	6.8308	6.5421	6.2951	4.7148	7.3559	3.9991	6.3899	7.9169	4.1593	3.7386	2.2467	1.1801	1.7414	3.736	2.6072	4.2267	5.0816	3.9749	4.3618	7.1805	4.6395	5.7851	6.3742	6.0238	7.067	6.3267	5.3914	6.9039	5.4892	4.5938	3.0275	3.007	2.8615	3.3267	6.1467	2.3204	2.8765	2.8574	5.8113	4.3618	6.0571	3.7577	6.1357	3.1153	5.1779	5.6758	5.7408	5.4438	5.5597	5.7721	4.3831	6.0881	6.7246	6.0549	5.4006	4.7949	3.4092	4.0028	4.1682	4.0925	5.063	4.0607	0.7051	2.4352	3.507	4.522	4.1329	2.6464	5.2067	4.2057	1.0654	5.2138	2.7853
1_TssA	1.506	1.072	3.1495	1.9956	0.8508	0.3826	3.3768	2.2422	2.5642	2.5685	1.6723	2.4653	3.3963	1.0677	0.8295	0.124	1.2666	1.6031	1.1584	0.7192	0.5016	0.9779	0.5647	1.1472	0.6429	0.9471	1.208	0.5028	1.2487	0.3014	0.4782	0.729	0.579	2.5215	1.7431	4.3987	1.9482	2.7462	1.8351	2.6136	-0.2589	1.442	1.0498	1.8083	0.8828	0.1668	0.8875	1.3503	1.0681	0.7821	1.1941	0.6032	1.1107	0.9008	1.7278	1.2105	0.9737	1.0805	0.9483	0.6849	1.3793	0.7117	1.205	1.5115	1.6028	2.3672	2.7705	0.1713	2.1636	-0.4626	1.3501	0.8468	1.163	0.6386	1.8116	1.3223	1.8343	0.8954	1.391	0.495	1.125	1.7081	3.2113	2.3518	1.7332	1.7744	3.3646	2.0459	1.8154	2.317	1.9412	2.3269	1.7549	2.4145	1.4023	3.4906	2.1225	2.3207
