Status	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_EnhA2	12	57	34	53	10	11	10	12	14	13	11	10	33	2	13	2	18	14	1	0	4	6	1	1	1	3	2	0	2	4	2	0	12	7	4	10	27	8	31	5	1	18	62	27	40	41	24	17	35	34	28	48	14	43	45	20	29	22	28	30	39	23	28	9	19	42	59	13	4	10	16	39	15	10	63	37	50	23	57	13	9	26	3	2	1	0	3	4	3	21	2	3	15	9	9	2	18	27
11_EnhWk	67	34	68	48	49	25	75	56	49	82	87	99	106	100	78	47	63	73	69	53	27	50	32	36	43	39	42	38	34	21	39	46	36	96	66	94	47	71	32	82	19	59	12	67	44	73	61	55	44	42	72	10	62	34	39	74	36	46	38	64	107	56	31	29	34	45	41	48	70	47	67	16	32	37	45	48	23	100	45	33	20	51	51	23	40	53	91	73	57	54	54	61	44	57	119	64	53	72
12_ZNF/Rpts	15	2	23	12	4	2	24	2	13	13	35	25	23	6	11	1	6	2	27	7	5	0	0	2	1	3	1	2	5	0	7	2	0	2	14	23	13	27	8	10	5	5	7	3	1	4	1	0	5	1	0	2	1	2	6	8	6	20	4	6	11	16	9	5	2	3	18	2	3	0	4	2	1	0	1	1	1	1	0	0	3	6	7	4	11	0	33	18	0	3	17	0	13	1	1	11	0	0
13_Het	20	4	58	54	7	14	24	16	40	23	21	21	101	15	15	4	14	56	80	22	16	5	8	5	14	4	8	17	43	19	72	5	5	68	36	94	92	70	34	50	31	37	109	34	6	12	12	20	21	14	9	27	7	19	51	14	24	62	25	11	25	48	30	27	6	27	87	19	36	0	41	27	35	21	10	14	41	27	6	18	43	55	14	28	65	22	32	72	48	19	89	9	64	38	43	85	48	39
14_TssBiv	2	0	0	0	0	1	1	1	1	3	4	1	0	4	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	4	2	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0
15_EnhBiv	2	2	3	2	0	2	2	1	1	3	3	2	6	2	2	2	1	0	2	1	5	1	0	0	1	1	1	2	1	1	3	1	1	0	2	11	6	0	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	2	7	0	1	0	23	4	6	9	2	0	0	0	0	0	1	1	2	1	0	0	0	0	4	2	2	1	0	1	1	1	0	5	1	1	0	1	1	2	0	2	0	0	2
16_ReprPC	12	8	3	10	3	10	11	9	4	9	14	14	39	15	14	7	5	11	17	2	32	1	0	2	2	7	3	2	4	0	5	1	1	25	20	58	36	15	10	6	6	3	0	0	3	1	2	3	4	5	2	6	4	6	3	55	17	9	5	11	8	9	18	7	0	3	0	0	0	1	1	4	7	4	1	0	3	5	2	16	4	0	17	7	2	9	16	2	4	33	8	15	21	6	1	12	5	12
17_ReprPCWk	11	25	20	135	7	15	50	18	31	36	35	16	191	17	26	19	15	79	66	89	226	39	20	63	76	100	63	93	83	24	75	78	16	78	125	142	129	106	96	150	89	57	59	120	51	23	50	48	40	22	28	15	11	52	40	188	102	75	101	88	75	74	75	25	32	95	23	32	4	26	49	39	36	28	62	73	85	75	116	93	54	2	152	151	121	148	140	93	167	170	121	98	64	71	94	118	88	169
18_Quies	621	748	460	336	583	636	476	681	521	564	500	552	231	599	581	631	575	448	564	703	565	840	857	764	806	740	780	734	710	820	642	788	870	397	519	326	405	388	537	416	632	499	466	500	611	616	577	577	573	650	648	734	757	590	535	329	444	402	704	460	390	535	405	709	585	503	491	624	523	712	665	653	664	711	617	552	576	600	637	517	641	573	496	592	542	599	383	441	436	464	521	642	564	531	466	394	545	404
1_TssA	6	6	7	5	4	2	7	6	7	7	6	7	10	3	4	1	5	7	4	4	4	7	6	8	6	6	7	4	7	7	4	6	6	7	5	15	10	9	7	8	2	6	10	7	11	9	9	10	12	10	9	7	7	7	8	4	5	5	10	4	7	4	5	6	7	8	8	4	6	1	8	10	7	8	8	7	7	7	7	8	7	6	13	7	8	9	8	8	8	8	7	15	7	9	7	9	11	7
2_TssFlnk	5	4	1	3	5	13	21	5	3	7	15	5	4	7	10	7	2	8	1	2	2	0	3	1	0	2	3	4	3	1	3	2	1	5	2	2	4	2	7	3	3	7	3	4	3	4	5	3	4	2	4	2	9	5	4	3	4	6	8	5	4	5	5	2	1	5	2	12	0	6	6	4	3	13	7	6	1	3	1	10	5	1	4	1	17	0	2	2	2	4	1	8	0	4	6	2	1	4
3_TssFlnkU	0	0	0	0	0	0	1	0	1	0	1	0	1	2	2	0	2	13	4	2	2	4	3	5	2	6	3	3	3	2	2	2	3	14	10	3	3	4	1	1	6	6	0	9	1	5	3	5	5	2	1	2	1	2	1	1	3	3	1	2	2	2	1	4	0	2	0	1	1	0	0	5	7	1	1	0	0	3	0	10	5	1	23	5	9	4	13	4	6	9	10	10	16	5	12	11	1	15
4_TssFlnkD	2	0	4	2	2	2	15	2	4	6	5	3	2	2	6	1	2	5	2	3	5	0	6	5	6	7	4	7	5	2	1	5	3	12	10	2	3	5	4	5	2	8	0	6	4	6	2	5	4	2	4	4	4	6	0	2	0	2	7	1	1	1	1	4	3	1	0	4	2	2	3	5	3	4	1	3	1	3	4	7	4	1	4	4	10	6	14	4	0	1	9	6	7	7	5	1	7	5
5_Tx	40	0	52	45	9	22	62	21	116	63	63	66	77	50	57	11	5	43	72	55	52	16	25	38	18	37	39	63	53	36	58	19	12	51	78	40	20	81	27	48	67	56	25	49	16	24	14	22	22	18	18	23	15	30	23	56	82	100	1	69	68	78	93	80	21	22	24	34	19	13	7	52	49	16	0	16	45	26	2	44	55	35	52	90	52	26	89	34	49	25	38	41	83	30	28	51	28	51
6_TxWk	228	164	282	329	381	296	274	231	218	202	244	220	174	227	237	326	335	250	140	110	104	82	100	120	81	86	101	88	98	124	137	106	95	244	158	200	248	248	243	229	195	252	300	187	256	222	278	257	269	247	222	180	142	254	299	244	269	266	130	271	283	177	293	140	347	257	294	267	389	235	187	198	178	174	219	276	219	157	176	261	210	294	177	126	165	177	189	279	231	219	147	137	140	245	226	269	221	218
7_EnhG1	7	1	20	14	1	1	0	0	11	10	9	2	17	8	2	0	8	4	4	7	11	7	3	9	8	13	6	7	8	3	5	3	3	11	8	12	11	11	18	24	6	13	6	5	1	4	3	7	3	1	2	0	0	3	3	11	5	5	0	16	13	8	31	6	4	4	4	1	2	0	0	3	1	1	0	4	2	4	1	4	2	4	17	18	10	0	21	8	4	1	3	11	17	1	2	11	0	4
