Status	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_EnhA2	-1.8515	-1.7032	-1.0175	-0.7987	-1.3918	-1.7821	-2.3917	-1.4333	-2.3072	-1.914	-0.7981	-1.2573	-0.9055	-0.9603	-0.5791	-1.672	-1.4523	-2.3051	-0.601	-0.8394	-1.3623	-1.3292	-0.6096	-1.1072	-0.8312	-1.4264	-0.9739	-0.5903	-1.2908	-1.5232	-1.6528	-0.7665	-1.0587	-2.5769	-0.6556	-1.387	-0.7909	-1.7998	-1.1211	-1.6471	-1.3271	-1.7191	-1.5939	-1.0754	-2.2414	-2.1311	-2.2311	-2.3338	-2.2808	-2.2434	-2.1079	-1.7707	-1.7115	-1.1812	-1.8498	-1.7523	-1.4539	-1.421	-1.575	-1.0626	-0.9972	-1.8019	-1.4887	-1.4076	-1.9798	-1.8617	-1.6186	-1.8337	-1.0933	-1.7867	-2.3065	-1.4308	-1.921	-2.2133	-1.9438	-1.0076	-2.3518	-1.5832	-3.4157	-1.6664	-1.9219	-2.1968	-1.5981	-1.468	-1.2628	-1.5242	-0.5651	-1.5761	-2.0663	-2.0949	-1.1808	-0.7796	-1.0048	-2.354	-1.7785	-1.7684	-1.4471	-1.2944
11_EnhWk	-3.6449	-3.4576	-3.7434	-3.789	-4.1121	-4.2348	-3.1373	-3.9367	-3.1443	-3.8173	-3.6724	-3.1033	-1.6672	-3.5343	-3.5296	-4.4979	-3.5406	-3.2866	-2.5125	-2.8162	-2.7955	-3.2888	-3.7557	-3.0736	-3.2106	-2.8462	-2.9538	-3.141	-2.156	-2.7501	-2.7477	-3.3135	-3.5274	-2.8239	-3.0846	-1.8766	-2.2896	-3.3934	-2.9541	-3.1471	-2.6109	-2.9991	-2.8206	-2.515	-3.2011	-2.2863	-2.6101	-3.2758	-3.1881	-2.5213	-2.4881	-2.5362	-3.3767	-3.1471	-2.9793	-2.3611	-3.2314	-3.0256	-2.7987	-2.3592	-1.7946	-2.6902	-3.0103	-3.3591	-4.3958	-3.463	-2.5843	-3.6827	-3.6752	-3.9483	-2.9332	-2.7162	-3.2349	-2.8699	-3.8652	-3.305	-3.0929	-2.2824	-2.5344	-2.6153	-2.7854	-2.8548	-3.444	-3.2468	-3.7069	-3.532	-2.9191	-3.8853	-2.9805	-3.335	-3.3648	-3.2665	-2.6856	-3.5824	-3.2151	-3.7883	-3.3197	-3.1821
12_ZNF/Rpts	-2.0741	-1.6329	-2.7554	-1.9983	-2.1331	-2.2617	-2.7001	-1.387	-2.3908	-2.36	-2.226	-2.0285	-1.9938	-2.3165	-2.5446	-1.8011	-2.1623	-1.4994	-2.2844	-1.7801	-1.159	-0.9181	-0.8636	-1.0347	-1.0201	-1.0392	-0.9346	-1.3563	-1.2508	-0.9485	-1.6617	-0.9825	-0.9265	-1.9584	-1.7844	-1.665	-1.564	-1.5207	-1.6598	-1.8864	-1.394	-2.2253	-3.6174	-2.2067	-1.2615	-1.7541	-1.427	-1.9699	-1.4093	-1.2512	-1.5708	-0.9724	-1.071	-1.9274	-2.0468	-1.8448	-1.8256	-2.3884	-2.0593	-1.8904	-2.1236	-1.8332	-2.1122	-1.6024	-1.9778	-1.8596	-2.8888	-1.1286	-2.2224	-0.655	-1.5755	-1.0002	-1.0555	-1.0335	-1.7904	-1.1472	-1.9086	-1.0889	-1.2847	-1.5603	-1.3705	-1.9251	-1.0241	-2.1157	-1.8824	-1.0235	-1.6635	-1.1341	-1.2803	-1.3091	-1.2574	-1.0626	-1.3035	-1.2904	-1.1865	-1.4908	-1.2376	-1.0891
13_Het	-2.8124	-2.2152	-2.2271	-0.7427	-2.5831	-2.4443	-3.572	-1.4904	-2.5467	-3.0123	-4.1481	-3.3614	0.8309	-2.7133	-3.4489	-2.1029	-2.2458	0.6048	-2.2976	-2.1741	-1.3889	-1.3595	-0.9049	-1.7038	-1.3834	-1.7845	-1.5054	-1.8612	-1.1781	-0.9045	-1.0828	-1.5216	-1.1351	0.7743	-1.8422	0.3914	0.7336	-0.6085	-1.0074	-0.9533	-1.4839	-1.8307	-1.8795	-2.0516	-2.0241	-2.6468	-1.8368	-2.1684	-1.9295	-1.7112	-2.094	-0.6262	-1.3523	-2.3778	-1.8727	-2.4203	-1.8759	-1.8155	-2.6009	-2.7733	-2.5986	-1.8853	-1.9304	-2.0075	-2.7673	-2.0684	-2.0941	-1.1185	-2.2753	-1.0915	-1.9986	-0.7032	-0.4966	-0.6761	-2.4212	-1.8269	-1.2314	-0.5847	-1.4793	-1.5024	-0.5763	-1.2546	-1.4114	-2.2427	-0.2787	-0.169	-2.2163	0.2343	0.1857	-0.9828	0.8038	-1.2579	-0.6512	-0.184	0.3512	0.7207	0.0369	-0.206
14_TssBiv	-1.4806	-1.0318	-1.3153	-1.0069	-0.8936	-1.1611	-1.2618	-1.4339	-0.8524	-1.5648	-1.4876	-1.6903	-1.1037	-1.6115	-2.0925	-1.2281	-1.0361	-0.9605	-0.9317	-0.8137	-1.0995	-0.5186	-0.5806	-0.7785	-0.5173	-0.8221	-0.7389	-0.8988	-1.0827	-0.9172	-0.7481	-0.6543	-0.638	-1.1227	-1.0226	-1.3648	-1.5282	-0.9771	-1.1911	-0.8749	-1.1031	-1.0035	-0.5682	-0.5177	-0.9045	-0.899	-0.9566	-1.1349	-1.0088	-0.7785	-0.7519	-1.1394	-0.9057	-1.2306	-0.7926	-0.9642	-1.0468	-1.1954	-0.6366	-1.7299	-1.2834	-0.766	-1.1972	-1.1137	-0.5204	-0.8688	-0.522	-0.5622	-0.3118	-0.731	-1.0022	-1.0838	-0.9929	-1.0285	-0.3957	-0.6955	-0.649	-1.141	-0.6896	-1.3004	-1.2939	-0.4844	-0.8951	-0.6822	-0.8321	-0.4365	-1.4709	-0.6328	-0.8308	-0.722	-0.8837	-0.4689	-1.0894	-1.0993	-0.9387	-1.1025	-0.8955	-1.0478
15_EnhBiv	-1.7409	-0.6955	-1.0539	-1.64	-0.8047	-0.7193	-1.3036	-1.5186	-0.6725	-1.481	-1.6634	-1.5102	-1.3605	-1.6973	-1.64	-1.1796	-1.1126	-0.8276	-1.2824	-1.3656	-1.8581	-0.7697	-0.8499	-1.0115	-1.0119	-1.1841	-1.0165	-1.0779	-1.09	-0.9614	-1.1914	-0.941	-0.8473	-1.2004	-1.3756	-1.2571	-1.659	-1.5526	-1.7946	-1.2838	-1.0213	-1.2249	-0.4181	-0.8562	-0.7245	-0.5985	-0.9991	-0.9837	-0.9871	-0.849	-0.8604	-0.862	-0.8457	-1.1158	-0.9098	-2.0566	-1.3046	-1.3531	-0.3244	-2.6123	-2.4261	-1.3197	-1.6966	-1.3558	-0.2777	-1.1558	-0.9168	-0.644	-0.2196	-1.0541	-0.5799	-0.8542	-0.8664	-0.5441	-0.2434	-0.8102	-1.1918	-1.1745	-0.9372	-1.3136	-0.9889	-0.7445	-0.5118	-0.7324	-0.7166	-0.4483	-1.9545	-0.7965	-0.4556	-0.8902	-0.979	-0.7481	-1.1177	-1.1777	-0.8162	-1.1758	-0.8075	-0.7769
16_ReprPC	-1.3036	-0.9701	-1.2256	-1.8032	-0.6188	-0.6901	-1.667	-1.606	-0.9543	-1.6454	-1.577	-1.4083	-1.6176	-1.3824	-1.5035	-1.1898	-0.6504	-2.2759	-1.1029	-1.4423	-2.3518	-0.7776	-0.955	-1.0709	-1.2036	-1.4328	-1.3615	-1.573	-1.5736	-1.1851	-1.5537	-1.2373	-0.9677	-1.8813	-1.0877	-0.5732	-1.4148	-1.5924	-2.3793	-2.1338	-1.5929	-1.8134	-1.0491	-1.5364	-0.9751	-1.0196	-1.4166	-1.3687	-1.0632	-0.9566	-1.0073	-1.0914	-1.0032	-1.4294	-0.8275	-1.3765	-1.3974	-1.4805	-0.9569	-3.1959	-2.674	-1.4432	-2.1627	-1.4561	-0.3273	-1.509	-1.1078	-1.1009	-0.2058	-1.4085	-1.0635	-1.3059	-1.0621	-0.9283	-0.6352	-1.2413	-1.4095	-1.8621	-1.9362	-2.0895	-1.579	-0.6614	-1.5653	-1.591	-1.1993	-1.7345	-2.5114	-1.358	-1.523	-1.4251	-2.1349	-0.9179	-1.2458	-1.9923	-2.7535	-1.7882	-2.0477	-2.204
17_ReprPCWk	-1.8475	-0.7793	-0.8956	3.0433	-1.1957	-1.0772	-0.2935	-1.5021	-0.2824	-0.1463	-0.7405	-1.4531	4.339	-1.4143	-1.1352	-1.1348	-0.7998	-0.0887	0.4572	0.7332	1.9439	-0.2098	-0.8905	0.3364	0.1395	0.8179	-0.2005	0.6034	0.1453	-1.1366	0.2216	0.234	-1.199	-0.4896	2.423	2.331	1.6718	1.8382	-0.0254	2.6286	0.2422	-0.4423	0.5805	1.9726	0.6249	-0.7331	-0.1394	0.0686	-0.2659	-1.0756	-0.6286	-1.2999	-1.1256	0.2027	-0.127	2.6413	1.5193	1.3322	1.3148	-0.6606	-0.2089	0.3568	-0.4161	-0.9192	1.7596	1.645	-0.8531	-0.9854	-0.6566	-0.6345	0.3166	-0.6487	-0.5505	-0.6435	0.9089	1.4126	0.5029	0.4503	0.5686	-0.1915	-0.3181	-1.0422	3	2.5196	3.1498	2.5295	1.6224	2.0267	3.9106	2.1194	0.9703	0.795	-0.0846	0.0459	0.7818	1.9991	0.5596	3.3442
18_Quies	14.3786	11.6205	12.1591	9.2508	9.3767	12.149	13.4938	13.7143	11.5506	14.3224	13.5269	13.2429	7.9152	13.6685	14.2226	12.3346	14.2096	12.5131	10.9349	14.4446	15.5171	15.4059	16.9223	15.7478	14.0096	15.9471	16.148	14.3951	13.4345	16.2873	12.4975	14.5416	16.9262	11.8051	10.933	11.1849	11.6578	10.7222	14.3309	10.2406	12.4314	12.1681	9.9368	10.5159	15.5305	16.0869	13.963	15.1712	14.7375	15.4332	15.1229	15.8615	18.5269	14.5259	10.9078	8.3518	10.63	11.2936	11.2972	15.0682	11.9555	12.7781	11.0313	14.9242	13.0559	13.2727	12.0937	14.9437	9.4408	14.8255	12.9269	16.0137	15.6984	15.2605	13.2565	11.3834	13.2145	17.9691	14.0827	14.4704	13.7079	12.3516	12.3043	13.0843	14.381	14.4739	14.4626	9.0435	9.4733	13.0174	12.8162	16.122	13.9094	13.2193	15.0093	9.2252	13.8899	10.581
1_TssA	-1.5819	-1.3243	-1.1726	-1.1423	-1.1326	-1.278	-1.0439	-1.0679	-1.206	-1.4962	-1.4207	-1.3344	-1.2993	-1.3378	-1.6686	-0.999	-1.3105	-1.7213	-1.1274	-1.2457	-1.5369	-1.5125	-1.5663	-1.4881	-1.4422	-1.4868	-1.4279	-1.2713	-1.4318	-1.8731	-1.4709	-1.49	-1.5475	-1.5382	-1.0534	-0.9928	-1.5805	-1.5404	-1.5521	-1.3462	-1.2323	-1.4127	-1.7387	-1.4225	-1.9679	-2.273	-1.8869	-1.9518	-1.8701	-1.9781	-1.7453	-2.0408	-1.7618	-1.9438	-1.6801	-1.5081	-1.6711	-1.7422	-1.5998	-1.839	-1.4798	-1.5746	-1.5723	-1.2984	-1.7145	-1.7254	-1.5046	-1.7138	-1.3466	-1.5263	-1.657	-2.2529	-1.8325	-1.8433	-2.0488	-1.827	-1.5674	-1.8697	-1.6907	-1.7753	-1.6733	-1.2824	-1.5598	-1.2091	-1.792	-1.6867	-1.2679	-1.4738	-1.4055	-1.4744	-1.2964	-1.2851	-1.1685	-1.5496	-2.0857	-1.4897	-1.7163	-1.6757
