"Ensgid"	"hgnc_symbol"	"name"	"Adipose_Subcutaneous"	"Adipose_Visceral_Omentum"	"Adrenal_Gland"	"Artery_Aorta"	"Artery_Coronary"	"Artery_Tibial"	"Brain_Cerebellum"	"Breast_Mammary_Tissue"	"Cells_Cultured_fibroblasts"	"Colon_Sigmoid"	"Colon_Transverse"	"Esophagus_Gastroesophageal_Junction"	"Esophagus_Mucosa"	"Esophagus_Muscularis"	"Heart_Atrial_Appendage"	"Heart_Left_Ventricle"	"Liver"	"Lung"	"Muscle_Skeletal"	"Nerve_Tibial"	"Ovary"	"Pancreas"	"Skin_Not_Sun_Exposed_Suprapubic"	"Skin_Sun_Exposed_Lower_leg"	"Spleen"	"Stomach"	"Testis"	"Thyroid"	"Uterus"	"Whole_Blood"
"ENSG00000102543"	"CDADC1"	"cytidine and dCMP deaminase domain containing 1"	NA	NA	0.72583625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000109099"	"PMP22"	"peripheral myelin protein 22"	NA	NA	NA	NA	NA	NA	NA	NA	0.0913489714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000111885"	"MAN1A1"	"mannosidase alpha class 1A member 1"	NA	NA	NA	NA	NA	NA	NA	NA	-0.053254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.264817476190476	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000115008"	"IL1A"	"interleukin 1 alpha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0243728444444444	-0.12497490625	NA	NA	NA	NA	NA	NA
"ENSG00000115526"	"CHST10"	"carbohydrate sulfotransferase 10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.267158421052632	NA	NA	NA	NA	NA	NA
"ENSG00000115539"	"PDCL3"	"phosducin like 3"	NA	NA	NA	NA	NA	NA	NA	NA	-0.126329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000116871"	"MAP7D1"	"MAP7 domain containing 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.231338
"ENSG00000121068"	"TBX2"	"T-box transcription factor 2"	-0.2133485	-0.272844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.177522	NA	NA	NA	NA	NA	NA	NA	NA	-0.135815333333333	-0.306897	NA	NA
"ENSG00000125409"	"TEKT3"	"tektin 3"	NA	NA	NA	NA	-0.428682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000125637"	"PSD4"	"pleckstrin and Sec7 domain containing 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.183737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000125834"	"STK35"	"serine/threonine kinase 35"	NA	NA	NA	NA	NA	-0.186892269230769	NA	NA	-0.179663676470588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.184369865384615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000126777"	"KTN1"	"kinectin 1"	NA	NA	NA	NA	NA	NA	-0.384882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000134453"	"RBM17"	"RNA binding motif protein 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.396988411764706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000135540"	"NHSL1"	"NHS like 1"	NA	NA	NA	NA	NA	0.2566651	NA	NA	0.299086	0.342923285714286	NA	0.2991812	NA	0.3965654	NA	NA	NA	NA	NA	0.4235797	NA	0.4068692	NA	NA	NA	0.3233363	NA	NA	0.641935	NA
"ENSG00000138316"	"ADAMTS14"	"ADAM metallopeptidase with thrombospondin type 1 motif 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.110227333333333	NA	NA	NA	NA	NA	NA
"ENSG00000144130"	"NT5DC4"	"5'-nucleotidase domain containing 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.128093782608696	NA	NA	NA
"ENSG00000151640"	"DPYSL4"	"dihydropyrimidinase like 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.422834	NA	NA	NA	NA	NA	NA
"ENSG00000155229"	"MMS19"	"MMS19 homolog, cytosolic iron-sulfur assembly component"	-0.17807275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000163811"	"WDR43"	"WD repeat domain 43"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.05870815625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000165124"	"SVEP1"	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	NA	NA	NA	NA	NA	NA	0.26209995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000165887"	"ANKRD2"	"ankyrin repeat domain 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.209705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000166206"	"GABRB3"	"gamma-aminobutyric acid type A receptor subunit beta3"	-0.628304894736842	-0.610270657894737	-0.507855428571429	-0.677550216216216	-0.653664740740741	-0.638497744186047	NA	-0.694919263157895	-0.643318581395349	-0.491051222222222	-0.457138722222222	-0.536072666666667	-0.687071534883721	-0.533583657894737	-0.26869175862069	-0.517907351351351	NA	-0.564784763157895	NA	-0.450473024390244	NA	NA	-0.702225534883721	-0.659425131578947	NA	NA	-0.406857475	NA	-0.65255624	NA
"ENSG00000171103"	"TRMT61B"	"tRNA methyltransferase 61B"	NA	-0.233674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0714974705882353	NA	NA	NA	NA	NA	NA	NA	-0.147198828571429	NA	NA	NA
"ENSG00000171307"	"ZDHHC16"	"zinc finger DHHC-type palmitoyltransferase 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1764588	NA	NA	NA
"ENSG00000171502"	"COL24A1"	"collagen type XXIV alpha 1 chain"	0.477344	NA	0.561953	0.637242	0.474256	0.635598	NA	0.35987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.477224	0.655725	NA	NA	0.319015	NA	NA	NA	0.305555	NA	NA
"ENSG00000172340"	"SUCLG2"	"succinate-CoA ligase GDP-forming subunit beta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.168929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000176771"	"NCKAP5"	"NCK associated protein 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.355577	NA	NA	NA
"ENSG00000187122"	"SLIT1"	"slit guidance ligand 1"	0.265037	NA	NA	0.3337404	NA	0.201132125	NA	NA	NA	0.2127836	NA	NA	NA	NA	0.3561334	NA	NA	0.2727135	NA	0.0902022	NA	NA	NA	-0.00958200000000001	NA	NA	NA	NA	NA	0.203462
"ENSG00000189350"	"TOGARAM2"	"TOG array regulator of axonemal microtubules 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.607148619047619	NA	0.40013636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000213390"	"ARHGAP19"	"Rho GTPase activating protein 19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.170061	NA	NA	NA	NA	NA	NA
"ENSG00000224549"	"ENSG00000224549"	"novel transcript"	-0.5392975	-0.480304	NA	NA	NA	NA	NA	-0.4207235	NA	NA	-0.514922	-0.508231	NA	-0.5019105	-0.5198605	NA	NA	-0.465656	NA	-0.435882	NA	NA	NA	NA	NA	NA	NA	-0.481277	NA	NA
"ENSG00000225765"	"LINC01831"	"long intergenic non-protein coding RNA 1831"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000230971"	"ENSG00000230971"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.190257115384615	NA	NA	NA
"ENSG00000234840"	"LINC01239"	"long intergenic non-protein coding RNA 1239"	-0.35085825	-0.3891605	NA	NA	NA	-0.51268475	NA	-0.252688	NA	NA	-0.4471665	NA	-0.342393	-0.460322	-0.5376895	NA	NA	-0.3358805	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.5041475	NA	NA
"ENSG00000267280"	"TBX2-AS1"	"TBX2 antisense RNA 1"	-0.227997	-0.258158	NA	-0.24776	NA	-0.3096445	NA	NA	-0.292357	NA	NA	-0.413947	NA	-0.399085	NA	NA	NA	-0.19035	NA	NA	NA	NA	NA	NA	-0.434697	NA	-0.411365	-0.342209	NA	NA
"ENSG00000276778"	"LINC02227"	"long intergenic non-protein coding RNA 2227"	-0.0357257931034483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
