chr10	6131041	6131042	rs140764661	chr10	6130540	6131049	CTCF	BJ
chr13	37424982	37424983	rs535884	chr13	37424890	37425357	CTCF	BJ
chr13	37425149	37425150	rs624770	chr13	37424890	37425357	CTCF	BJ
chr13	37432357	37432358	rs36028156	chr13	37432311	37432751	CTCF	BJ
chr13	49549910	49549911	rs114162077	chr13	49549146	49549942	CTCF	BJ
chr13	111680120	111680121	rs35716369	chr13	111679996	111680439	CTCF	BJ
chr17	59471081	59471082	rs917533	chr17	59470952	59471578	CTCF	BJ
chr18	20939077	20939078	rs140366331	chr18	20938807	20939211	CTCF	BJ
chr18	57663582	57663583	rs11876488	chr18	57663567	57663991	CTCF	BJ
chr18	57663814	57663815	rs11872821	chr18	57663567	57663991	CTCF	BJ
chr2	113484440	113484441	rs2138606	chr2	113484308	113484708	CTCF	BJ
chr2	134277479	134277480	rs6430425	chr2	134277216	134277673	CTCF	BJ
chr3	123834822	123834823	rs75386492	chr3	123834749	123835174	CTCF	BJ
chr9	32550911	32550912	rs112527210	chr9	32550630	32551097	CTCF	BJ
chr9	113188571	113188572	rs1410050	chr9	113188347	113188792	CTCF	BJ
chr9	113191760	113191761	rs148059692	chr9	113191726	113192167	CTCF	BJ
