DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA	22q13.2	22	42335534	NR	TCF20, TCF20, TCF20, TCF20, TCF20, TCF20, TCF20, TCF20			ENSG00000283681, ENSG00000100207, ENSG00000276461, ENSG00000280467, ENSG00000281897, ENSG00000282892, ENSG00000262024, ENSG00000283026			rs4822112-?	rs4822112	0	4822112	intron_variant	0	NR	5E-6	5.301029995663981				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA				NR							chr11:124744005-?	chr11:124744005	0			1	NR	4E-7	6.3979400086720375				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA				NR							chr13:28365664-?	chr13:28365664	0			1	NR	7E-6	5.154901959985743				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA				NR							chr13:82687564-?	chr13:82687564	0			1	NR	5E-6	5.301029995663981				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA	14q12	14	24320104	NR	ADCY4, ADCY4			ENSG00000284814, ENSG00000129467			rs3181382-?	rs3181382	0	3181382	intron_variant	0	NR	1E-7	7.0				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA				NR							chr16:60394055-?	chr16:60394055	0			1	NR	6E-6	5.221848749616356				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA	16q24.2	16	88043118	NR	BANP			ENSG00000172530			rs9927732-?	rs9927732	0	9927732	intron_variant	0	NR	3E-7	6.522878745280337				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA	18q12.2	18	37225231	NR	KIAA1328			ENSG00000150477			rs2017027-?	rs2017027	0	2017027	3_prime_UTR_variant	0	NR	2E-6	5.698970004336019				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA				NR							chr18:39130032-?	chr18:39130032	0			1	NR	1E-6	6.0				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
2018-07-04	29538362	Jilling T	2018-03-14	Pediatr Res	www.ncbi.nlm.nih.gov/pubmed/29538362	Surgical necrotizing enterocolitis in extremely premature neonates is associated with genetic variations in an intergenic region of chromosome eight.	Surgical necrotising enterocolitis in extremely premature birth	20 African American cases, 6 Hispanic Caucasian cases, 4 European ancestry cases,  283 African American controls, 130 Hispanic Caucasian controls, 133 European ancestry controls,	NA				NR							chr2:4838394-?	chr2:4838394	0			1	NR	4E-6	5.3979400086720375				Illumina [8270200] (imputed)	N	necrotizing enterocolitis, premature birth	http://www.ebi.ac.uk/efo/EFO_0003928, http://www.ebi.ac.uk/efo/EFO_0003917	GCST005800	Genome-wide genotyping array
