chr1	63529092	63529093	rs17124480	chr1	63528993	63529462	CTCF	ProgFib
chr10	6131041	6131042	rs140764661	chr10	6130540	6131049	CTCF	ProgFib
chr10	6131041	6131042	rs140764661	chr10	6130646	6131390	POLR2A	ProgFib
chr10	6131311	6131312	rs76943221	chr10	6130646	6131390	POLR2A	ProgFib
chr10	99258222	99258223	rs3750558	chr10	99257371	99259028	POLR2A	ProgFib
chr13	37424982	37424983	rs535884	chr13	37424890	37425357	CTCF	ProgFib
chr13	37425149	37425150	rs624770	chr13	37424890	37425357	CTCF	ProgFib
chr13	37432357	37432358	rs36028156	chr13	37432311	37432751	CTCF	ProgFib
chr13	49549910	49549911	rs114162077	chr13	49549200	49551261	POLR2A	ProgFib
chr14	55999681	55999682	rs4901582	chr14	55999558	56000007	CTCF	ProgFib
chr14	55999718	55999719	rs2181742	chr14	55999558	56000007	CTCF	ProgFib
chr14	55999724	55999725	rs2181743	chr14	55999558	56000007	CTCF	ProgFib
chr17	59471081	59471082	rs917533	chr17	59470952	59471578	CTCF	ProgFib
chr18	20939077	20939078	rs140366331	chr18	20938807	20939211	CTCF	ProgFib
chr18	21018019	21018020	rs77056984	chr18	21017433	21018183	POLR2A	ProgFib
chr18	57663582	57663583	rs11876488	chr18	57663567	57663991	CTCF	ProgFib
chr18	57663814	57663815	rs11872821	chr18	57663567	57663991	CTCF	ProgFib
chr2	101179797	101179798	rs58420974	chr2	101178857	101180098	POLR2A	ProgFib
chr2	113484440	113484441	rs2138606	chr2	113484308	113484708	CTCF	ProgFib
chr2	134277479	134277480	rs6430425	chr2	134277216	134277673	CTCF	ProgFib
chr9	113191760	113191761	rs148059692	chr9	113191726	113192167	CTCF	ProgFib
