SNPS	GENES	REGION	PMID	FIRST.AUTHOR	DATE	Min_P
rs1000535	STK32C	10q26.3	31194736	Tiensuu H	2019-06-13	7e-06
rs10678727	UBTD1	10q24.2	31194736	Tiensuu H	2019-06-13	2e-06
rs10735568	SLC28A3	9q21.33	31194736	Tiensuu H	2019-06-13	7e-06
rs10735568	AL157886.1	9q21.33	31194736	Tiensuu H	2019-06-13	7e-06
rs10839537	CCKBR	11p15.4	31194736	Tiensuu H	2019-06-13	2e-06
rs10839537	AC068733.2	11p15.4	31194736	Tiensuu H	2019-06-13	2e-06
rs10871774	NFE2L3P1	18q21.32	31194736	Tiensuu H	2019-06-13	2e-06
rs10892761	SORL1	11q24.1	25599974	Zhang H	2015-01-19	3e-06
rs10905856	RBM17	10p15.1	31194736	Tiensuu H	2019-06-13	5e-06
rs10905856	PFKFB3	10p15.1	31194736	Tiensuu H	2019-06-13	5e-06
rs111873142	TBCD	17q25.3	31194736	Tiensuu H	2019-06-13	1e-06
rs112349722	CDKL3	5q31.1	31194736	Tiensuu H	2019-06-13	2e-06
rs112349722	AC104109.4	5q31.1	31194736	Tiensuu H	2019-06-13	2e-06
rs112527210	TOPORS	9p21.1	31194736	Tiensuu H	2019-06-13	9e-06
rs112843209	NFE2L3P1	18q21.32	31194736	Tiensuu H	2019-06-13	4e-06
rs112912841	LPP	3q28	31477735	Liu X	2019-09-02	1e-07
rs112945849	GABRB3	15q12	31194736	Tiensuu H	2019-06-13	5e-06
rs113018921	MSI2	17q22	31194736	Tiensuu H	2019-06-13	8e-06
rs11490380	LINC00431	13q34	31194736	Tiensuu H	2019-06-13	4e-06
rs11490380	LINC00368	13q34	31194736	Tiensuu H	2019-06-13	4e-06
rs115723230	RN7SKP61	3p12.3	31194736	Tiensuu H	2019-06-13	2e-06
rs115723230	AC108752.1	3p12.3	31194736	Tiensuu H	2019-06-13	2e-06
rs116461311	SLIT2	4p15.31	31194736	Tiensuu H	2019-06-13	2e-07
rs117023642	AC021613.1	8p21.3	31194736	Tiensuu H	2019-06-13	4e-07
rs117023642	LINC02153	8p21.3	31194736	Tiensuu H	2019-06-13	4e-07
rs11788387	AL591368.1	9q21.32	31194736	Tiensuu H	2019-06-13	6e-07
rs11788387	RNA5SP287	9q21.32	31194736	Tiensuu H	2019-06-13	6e-07
rs118112762	FNDC3A	13q14.2	31194736	Tiensuu H	2019-06-13	7e-06
rs12085223	AC099792.1	1p32.1	31194736	Tiensuu H	2019-06-13	2e-06
rs12765664	ADAMTS14	10q22.1	31194736	Tiensuu H	2019-06-13	5e-06
rs1289231	LINC02428	4q24	31194736	Tiensuu H	2019-06-13	6e-06
rs138191925	MEIS1	2p14	31194736	Tiensuu H	2019-06-13	5e-06
rs140162370	TMEM241	18q11.2	31194736	Tiensuu H	2019-06-13	1e-06
rs1418269	AL360085.1	6q21	31194736	Tiensuu H	2019-06-13	8e-06
rs1418269	RNU6-1163P	6q21	31194736	Tiensuu H	2019-06-13	8e-06
rs143057876	AKAP8P1	9p23	31194736	Tiensuu H	2019-06-13	4e-06
rs143057876	AL451129.1	9p23	31194736	Tiensuu H	2019-06-13	4e-06
rs146427742	COL8A2	1p34.3	31194736	Tiensuu H	2019-06-13	2e-06
rs146427742	TRAPPC3	1p34.3	31194736	Tiensuu H	2019-06-13	2e-06
rs149014416	LINC02099	8p12	28598419	Hong X	2017-06-09	2e-08
rs149014416	AC131254.1	8p12	28598419	Hong X	2017-06-09	2e-08
rs1558001	HGF	7q21.11	28598419	Hong X	2017-06-09	3e-08
rs1558001	CACNA2D1	7q21.11	28598419	Hong X	2017-06-09	3e-08
rs17053026	CACNA1D	3p21.1	25599974	Zhang H	2015-01-19	5e-06
rs17480505	SLC8A1-AS1	2p22.1	31194736	Tiensuu H	2019-06-13	3e-06
rs17716275	AC011505.1	19q12	31194736	Tiensuu H	2019-06-13	5e-06
rs17766756	RNF217-AS1	6q22.31	31194736	Tiensuu H	2019-06-13	3e-06
rs17766756	NKAIN2	6q22.31	31194736	Tiensuu H	2019-06-13	3e-06
rs1877720	SPATA6	1p33	31477735	Liu X	2019-09-02	4e-07
rs188928429	NEUROD4	12q13.2	31194736	Tiensuu H	2019-06-13	3e-06
rs192868041	AL138749.1	9q21.31	31194736	Tiensuu H	2019-06-13	4e-06
rs192868041	RPS20P25	9q21.31	31194736	Tiensuu H	2019-06-13	4e-06
rs1965937	AC107208.1	4q32.1	31194736	Tiensuu H	2019-06-13	9e-06
rs1965937	GUCY1A1	4q32.1	31194736	Tiensuu H	2019-06-13	9e-06
